date,close,high,low,open,volume,weighted_tavg,weighted_prcp,Fed_Rate,CPI,GDP,gk_vol_1d,gk_vol_21d
2022-07-12,801.5,839.25,801.5,835.0,70,24.88424132219589,0.1876536060398032,1.58,296.276,26272.011,0.020283332186272228,0.020686518079387175
2022-07-13,798.25,819.25,798.25,810.0,30,25.25392187307388,0.3663383370602985,1.58,296.276,26272.011,0.015958438796692394,0.020561024903068003
2022-07-14,794.25,794.25000001,794.25,794.25,53660,25.755599052482246,7.451762100300453,1.58,296.276,26272.011,8.902895268418563e-12,0.019307442155495798
2022-07-15,776.75,804.75,765.75,798.0,44621,26.2927492128575,8.093660475033161,1.58,296.276,26272.011,0.03086175110725015,0.020176563205953686
2022-07-18,812.75,825.0,778.5,787.25,42326,27.487446494152813,1.9251976387679952,1.58,296.276,26272.011,0.03592057121312036,0.02118585893641714
2022-07-19,812.25,822.25,792.5,808.5,45981,27.08719869168239,0.886602151370585,1.58,296.276,26272.011,0.025899077058865756,0.02151578111534132
2022-07-20,819.5,843.5,801.0,810.25,38891,27.06183464642131,0.7377081203365914,1.58,296.276,26272.011,0.03586940085526299,0.022046821666018197
2022-07-21,806.25,834.0,795.5,819.5,43046,26.76811776659064,0.9386083873911208,1.58,296.276,26272.011,0.03184702982253444,0.022458504213709318
2022-07-22,759.0,807.25,754.0,803.25,66188,26.86648868473429,3.0449986578349666,1.58,296.276,26272.011,0.03298625248177444,0.022411650156003524
2022-07-25,770.0,793.5,760.5,787.0,47491,22.7358282490181,6.423665549971123,1.58,296.276,26272.011,0.02679453953212461,0.02282309739945336
2022-07-26,803.75,806.0,772.25,773.0,43798,23.82137644558071,6.057501921111637,1.58,296.276,26272.011,0.018084139657945645,0.022282979031315837
2022-07-27,790.25,818.75,782.0,802.5,41494,24.55597367955758,4.259874471603741,1.58,296.276,26272.011,0.03103390881424362,0.022438275846723303
2022-07-28,817.0,824.25,786.25,786.25,37417,23.613833799181837,3.105830519808476,2.33,296.276,26272.011,0.02335211127782357,0.02263086448934215
2022-07-29,807.75,845.75,801.0,817.0,47268,23.119338737047222,1.1710936884975236,2.32,296.276,26272.011,0.037783282127580815,0.023499658887460025
2022-08-01,800.25,820.25,781.25,812.75,41076,25.734884758217667,0.5220260401021521,2.33,296.171,26272.011,0.03307152363081779,0.024011118275194795
2022-08-02,774.75,795.75,772.75,795.0,47230,27.16046503174102,1.4029129180185895,2.33,296.171,26272.011,0.013150746201011141,0.02364438585710999
2022-08-03,763.75,790.25,752.0,774.0,51385,26.19427407756293,1.920773982189712,2.33,296.171,26272.011,0.034089176763239935,0.024569965841870184
2022-08-04,782.5,789.5,758.25,768.0,46769,25.506415822353453,3.0393938468499204,2.33,296.171,26272.011,0.02608444828971735,0.024374382420092763
2022-08-05,775.75,796.75,769.75,782.0,51597,26.383489252448296,4.8868021588603945,2.33,296.171,26272.011,0.023861987411182384,0.025287080817026384
2022-08-08,779.75,793.75,760.75,776.5,64408,23.922389872052428,2.332632407149742,2.33,296.171,26272.011,0.0299139873478479,0.025908666085697814
2022-08-09,781.5,801.25,772.75,785.75,59015,24.53692884667498,2.797483290344264,2.33,296.171,26272.011,0.025386774327010583,0.02629678471005814
2022-08-10,799.75,808.5,780.25,781.5,68225,24.42119400075395,1.928871225312335,2.33,296.171,26272.011,0.02065514878158418,0.026314490262215856
2022-08-11,810.75,820.75,794.5,800.0,63667,24.471826550511427,0.6676997225552002,2.33,296.171,26272.011,0.021435488163412026,0.026575302136821556
2022-08-12,806.0,811.25,782.25,811.25,40652,24.58568083360546,4.562948339293378,2.33,296.171,26272.011,0.025421746794949598,0.02778586150758568
2022-08-15,800.75,804.5,778.0,802.0,29781,24.303844817125064,0.3873684036638694,2.33,296.171,26272.011,0.023664297214970886,0.027443125607953336
2022-08-16,786.0,810.5,782.5,799.0,25480,23.479355756585505,4.762321112035846,2.33,296.171,26272.011,0.02267314897145836,0.026812295977398
2022-08-17,763.25,797.0,759.5,785.25,29954,23.846347959827032,1.3536040959512532,2.33,296.171,26272.011,0.029144744671450926,0.026966851577997296
2022-08-18,731.5,766.5,725.75,764.75,38267,23.175619453300413,1.8630788579658533,2.33,296.171,26272.011,0.026997539469673454,0.02654438198820732
2022-08-19,753.25,756.75,727.25,733.0,18896,22.149618955576504,7.630465980481837,2.33,296.171,26272.011,0.022442268249436206,0.02609653619901216
2022-08-22,770.5,774.0,744.5,754.0,22523,23.51373886715772,2.346303876140134,2.33,296.171,26272.011,0.023958136329316006,0.025666625906037948
2022-08-23,782.75,802.5,767.25,770.0,26881,23.64984153031789,0.3938159163561432,2.33,296.171,26272.011,0.03007786796062015,0.02582297487882345
2022-08-24,795.0,799.75,775.0,782.25,23598,23.255992630433767,0.8777939091292594,2.33,296.171,26272.011,0.01982776123381873,0.02590600447767455
2022-08-25,769.75,803.5,766.5,794.75,18247,22.74976027442772,0.7228894485488395,2.33,296.171,26272.011,0.026769107871524773,0.025702918718497465
2022-08-26,784.75,792.25,764.0,764.5,28064,23.113394638408877,2.5534411485659536,2.33,296.171,26272.011,0.019878645092330036,0.025537515566807296
2022-08-29,820.0,827.0,774.75,785.75,23866,22.99062023421049,2.7547132429258854,2.33,296.171,26272.011,0.03776929875547363,0.02553684969194505
2022-08-30,798.25,824.0,794.0,818.5,12216,23.06445304614306,1.2238254508395068,2.33,296.171,26272.011,0.021101998969824565,0.02496687232713585
2022-08-31,809.0,812.25,788.75,794.75,1705,23.733692958481456,0.2620136055252634,2.33,296.171,26272.011,0.017577515147647386,0.025177670848404245
2022-09-01,775.5,806.0,773.0,802.75,1046,24.23619013987641,3.537128452240529,2.33,296.808,26272.011,0.020324532749459473,0.024522211609652792
2022-09-02,793.0,795.25,790.0,793.75,440,24.111904286484133,0.2397508121569077,2.33,296.808,26272.011,0.004646582592326464,0.02350136086215799
2022-09-06,800.0,800.75,794.25,795.5,386,23.225693021088148,0.4089082375303107,2.33,296.808,26272.011,0.004574248212429399,0.022582897090788798
2022-09-07,826.5,855.0,802.25,802.25,389,23.233666593769662,0.1422684520274413,2.33,296.808,26272.011,0.04104961293671582,0.023113164975972985
2022-09-08,810.5,816.5,805.5,815.0,306,23.29550027632805,1.3684766450784296,2.33,296.808,26272.011,0.008952370169977917,0.02233057430182857
2022-09-09,853.25,853.25,810.0,810.0,40,20.2359485788226,1.3024386445392848,2.33,296.808,26272.011,0.017540723040633005,0.022182268314164227
2022-09-12,841.25,852.5,837.0,852.5,54,19.73432072181425,0.3483163325670505,2.33,296.808,26272.011,0.010008734935788018,0.021638137208086897
2022-09-13,842.75,850.0,839.0,850.0,31,19.98286796301631,0.2923609605698003,2.33,296.808,26272.011,0.007515906205036434,0.020785478132376745
2022-09-14,853.75,853.75000001,853.75,853.75,45623,20.369080441663893,0.0562485008689094,2.33,296.808,26272.011,8.282394728754277e-12,0.01965860683682015
2022-09-15,845.0,884.75,843.25,874.0,52974,21.18219655148228,1.0722164655579247,2.33,296.808,26272.011,0.026723574186109447,0.01985148422799401
2022-09-16,859.75,866.5,830.75,846.75,47239,19.984102091239457,0.9759372175205052,2.33,296.808,26272.011,0.028247633287787448,0.01980876463829575
2022-09-19,830.5,861.25,819.25,857.25,46375,22.95163148120131,1.706218954907092,2.33,296.808,26272.011,0.029352217881496404,0.019920892181715895
2022-09-20,893.75,896.75,825.5,827.75,72771,22.95760930418361,0.2983421609762546,2.33,296.808,26272.011,0.03396325966506245,0.020469510820555235
2022-09-21,903.75,919.5,873.0,886.5,91297,20.154298213524747,1.6306896609551238,2.33,296.808,26272.011,0.034685019996330585,0.02098031480469879
2022-09-22,910.75,922.5,891.0,896.5,59590,16.852647492354173,0.8917220922582977,3.08,296.808,26272.011,0.022527002197202006,0.02062074976834554
2022-09-23,880.5,913.0,876.0,908.75,54237,17.110227863865887,1.891935308099597,3.08,296.808,26272.011,0.02169048893950623,0.020709451087663994
2022-09-26,858.0,890.75,854.25,877.0,48793,17.276982104901144,0.0367963066702248,3.08,296.808,26272.011,0.02626727225970831,0.020685554153767972
2022-09-27,871.5,894.5,857.0,857.5,48803,16.748523844289025,0.0514251023381975,3.08,296.808,26272.011,0.028561559865515635,0.021099026285824427
2022-09-28,903.25,905.0,862.0,874.25,51296,16.37615351738951,0.0030993767693378,3.08,296.808,26272.011,0.02781161026906587,0.020624850643614537
2022-09-29,896.25,914.5,887.75,902.5,41358,17.095855012576102,0.0166514408556404,3.08,296.808,26272.011,0.020542944199058638,0.02059822898786378
2022-09-30,921.5,945.75,892.75,899.75,78137,16.572232426863785,3.0326204450530603,3.08,296.808,26272.011,0.03798180526350746,0.02156986185052378
2022-10-03,912.0,938.75,908.5,930.0,52399,17.39618211859522,0.3425159467124707,3.08,298.012,26734.277,0.019719572083569132,0.0215410541997671
2022-10-04,903.0,927.0,897.5,916.25,50521,17.18939791757937,0.2346946624552598,3.08,298.012,26734.277,0.020999640073599626,0.022319771222684866
2022-10-05,902.0,919.75,894.25,903.25,39955,17.630762534467305,0.1493146306284177,3.08,298.012,26734.277,0.019862738801217923,0.023047794584055748
2022-10-06,879.0,907.75,873.25,905.75,46423,15.602193480200269,0.0856791360264297,3.08,298.012,26734.277,0.020087426395317725,0.022049595224941557
2022-10-07,880.25,896.75,872.5,883.25,38141,11.431493383620094,0.0584224027466925,3.08,298.012,26734.277,0.01926926806969922,0.022540876077309237
2022-10-10,938.0,949.75,891.5,895.25,77244,14.867781585158674,0.2311534351551393,3.08,298.012,26734.277,0.03409504621541931,0.023329177180870492
2022-10-11,901.0,936.75,898.0,934.0,65146,17.623315580539824,0.4690921425352994,3.08,298.012,26734.277,0.019812662836753245,0.023796030890440262
2022-10-12,882.25,903.75,876.25,902.0,44744,15.379535863081276,3.641879082487645,3.08,298.012,26734.277,0.016973766874664314,0.024246405208041586
