date,close,high,low,open,volume,weighted_tavg,weighted_prcp,Fed_Rate,CPI,GDP
2012-12-13,793.0,798.75,793.0,797.25,67,1.0946268002413602,0.0301963554111305,0.16,229.601,16420.419
2012-12-14,801.0,801.75,792.25,792.25,39670,3.3810533526050865,1.8776559147170968,0.17,229.601,16420.419
2012-12-17,808.0,819.0,805.0,816.0,31789,1.229459774841763,0.4950510985743964,0.16,229.601,16420.419
2012-12-18,811.25,814.25,801.5,808.0,43526,2.7787666623509204,0.5680454513126643,0.17,229.601,16420.419
2012-12-19,805.75,822.75,802.0,813.0,57923,2.47292169752422,2.4175327908644944,0.17,229.601,16420.419
2012-12-20,790.5,808.5,782.5,806.25,57291,-1.4915157075767462,3.1044903020042183,0.17,229.601,16420.419
2012-12-21,792.0,798.75,789.75,790.5,30912,-3.3434436980361872,0.438443256011667,0.17,229.601,16420.419
2012-12-24,793.75,796.25,791.25,793.5,9187,-5.717785480893469,0.5567187934652802,0.18,229.601,16420.419
2012-12-26,774.5,795.25,773.75,794.0,24872,-8.12823524517581,2.106942306245343,0.17,229.601,16420.419
2012-12-27,772.25,778.0,764.5,775.25,34718,-5.107356497130172,0.4361911063778652,0.17,229.601,16420.419
2012-12-28,778.75,784.5,766.5,772.75,42704,-3.922807217429036,2.824449156104393,0.17,229.601,16420.419
2012-12-31,778.0,780.0,767.75,778.75,27171,-4.311785267407674,1.6817640091985837,0.09,229.601,16420.419
2013-01-02,755.25,788.0,752.5,785.5,57612,-5.036270145237023,0.1931179300110916,0.17,230.28,16648.189
2013-01-03,755.5,761.25,749.75,758.0,52889,-4.87944090699553,0.1307806763561445,0.17,230.28,16648.189
2013-01-04,747.25,758.25,739.75,755.5,53001,-3.7066737283600153,0.0306632068091539,0.16,230.28,16648.189
2013-01-07,751.25,760.5,743.5,749.5,50442,-0.2959689768294202,0.0179953115143172,0.16,230.28,16648.189
2013-01-08,750.5,759.25,749.25,750.5,59739,1.9828521057059687,0.7106380042993372,0.15,230.28,16648.189
2013-01-09,745.5,757.0,745.0,752.5,64306,3.849657953515809,10.248549354699028,0.14,230.28,16648.189
2013-01-10,744.5,756.5,744.0,747.25,70507,5.472018227101977,4.596268842142225,0.14,230.28,16648.189
2013-01-11,754.75,773.0,736.25,745.25,123386,3.792762249170861,1.7742508308309857,0.14,230.28,16648.189
2013-01-14,767.0,777.0,760.75,761.5,89410,-5.947037638826725,0.7651384692984009,0.14,230.28,16648.189
2013-01-15,782.75,789.75,766.5,769.75,85447,-5.565560700889063,1.5533423064294052,0.15,230.28,16648.189
2013-01-16,785.0,791.0,777.0,782.75,55859,-2.5800108361444725,0.497662820592845,0.14,230.28,16648.189
2013-01-17,781.25,789.5,776.0,786.25,49509,-2.1495914888740595,0.8523607758235063,0.14,230.28,16648.189
2013-01-18,791.25,793.75,778.75,782.75,51739,1.2016611395972203,0.0108294739768695,0.14,230.28,16648.189
