date,Close,High,Low,Open,Volume,weighted_tavg,weighted_prcp
2001-10-03,263.75,264.0,262.75,264.0,104.0,16.124091449755962,0.0
2001-10-04,270.5,271.5,269.5,269.75,83.0,13.567583224624322,1.5569401747309266
2001-10-05,272.5,273.5,272.5,273.0,120.0,9.669630298169087,7.846891801322231
2001-10-06,272.5,273.5,272.5,273.0,120.0,9.391215240892873,0.9467603894600922
2001-10-07,272.5,273.5,272.5,273.0,120.0,11.139926836529446,0.0056347674324255205
2001-10-08,275.0,275.75,273.5,273.5,83.0,13.676074417918732,0.33283319023999736
2001-10-09,272.75,272.75,271.25,272.0,38.0,14.981791876802987,9.256473114308006
2001-10-10,274.75,275.5,274.0,275.0,64.0,13.345929551224128,7.520013094327235
2001-10-11,279.25,279.5,279.0,279.0,151.0,12.837019570943847,6.400181390195145
2001-10-12,278.25,279.75,278.0,279.25,117.0,12.727437586961267,3.9141137782353863
2001-10-13,278.25,279.75,278.0,279.25,117.0,12.481518989480605,7.881058752479486
2001-10-14,278.25,279.75,278.0,279.25,117.0,11.136429141778718,3.1767048572222265
2001-10-15,274.5,276.25,274.5,275.5,36.0,8.348172619370153,6.3570572542323145
2001-10-16,273.5,274.0,273.25,274.0,112.0,7.802665804049164,0.9607819450909899
2001-10-17,277.25,278.5,277.25,278.5,161.0,9.768573785954622,0.000507551486482959
2001-10-18,286.0,286.0,285.0,285.0,203.0,10.45109512239691,0.00017095625371189586
2001-10-19,285.5,289.0,282.25,283.0,136.0,11.507746668727226,0.7694178235185024
